concept,name,concept_type
name,Name,string
year,Year,time
country,Country,entity_domain
sex,Sex,entity_domain
total_employment_thousands,Total employment ('000),measure
agriculture_thousands,Agriculture ('000),measure
agriculture_percentage,Agriculture (%),measure
industry_thousands,Industry ('000),measure
industry_percentage,Industry (%),measure
services_thousands,Services ('000),measure
services_percentage,Services (%),measure
not_adequately_defined_thousands,Not adequately defined ('000),measure
not_adequately_defined_percentage,Not adequately defined (%),measure
