country,sex,year,industry
alb,mf,2000,6.599999904632568
alb,mf,2001,6.5
alb,mf,2002,13.699999809265137
alb,mf,2003,13.399999618530273
alb,mf,2004,13.600000381469727
alb,mf,2005,13.5
alb,mf,2006,13.5
alb,mf,2007,18.700000762939453
alb,mf,2009,19.899999618530273
alb,m,2009,27.100000381469727
alb,f,2009,10.300000190734863
dza,mf,2001,24.299999237060547
dza,m,2001,23.600000381469727
dza,f,2001,28.299999237060547
dza,mf,2003,24.0
dza,m,2003,23.799999237060547
dza,f,2003,25.200000762939453
dza,mf,2004,26.0
dza,m,2004,25.600000381469727
dza,f,2004,28.200000762939453
dza,mf,2011,30.899999618530273
dza,m,2011,32.20000076293945
dza,f,2011,23.799999237060547
asm,mf,1990,44.400001525878906
asm,m,1990,43.0
asm,f,1990,44.599998474121094
asm,mf,2000,41.70000076293945
asm,mf,2010,23.200000762939453
ago,mf,1992,20.600000381469727
aia,mf,1999,20.5
aia,m,1999,32.70000076293945
aia,f,1999,6.699999809265137
aia,mf,2001,18.899999618530273
aia,m,2001,32.099998474121094
aia,f,2001,3.700000047683716
atg,mf,2001,14.600000381469727
atg,m,2001,24.399999618530273
atg,f,2001,4.699999809265137
atg,mf,2002,15.600000381469727
atg,m,2002,26.100000381469727
atg,f,2002,5.0
atg,mf,2003,15.600000381469727
atg,m,2003,26.100000381469727
atg,f,2003,5.099999904632568
atg,mf,2004,15.600000381469727
atg,m,2004,26.100000381469727
atg,f,2004,5.0
atg,mf,2005,15.600000381469727
atg,m,2005,26.100000381469727
atg,f,2005,5.0
atg,mf,2006,15.600000381469727
atg,m,2006,26.100000381469727
atg,f,2006,5.099999904632568
atg,mf,2007,15.600000381469727
atg,m,2007,26.100000381469727
atg,f,2007,5.0
atg,mf,2008,15.600000381469727
atg,m,2008,26.100000381469727
atg,f,2008,5.0
arg,mf,1982,29.299999237060547
arg,mf,1983,29.200000762939453
arg,mf,1984,30.899999618530273
arg,mf,1990,31.600000381469727
arg,m,1990,39.400001525878906
arg,f,1990,17.899999618530273
arg,mf,1991,32.70000076293945
arg,m,1991,40.20000076293945
arg,f,1991,19.200000762939453
arg,mf,1992,32.099998474121094
arg,m,1992,40.20000076293945
arg,f,1992,18.200000762939453
arg,mf,1993,29.5
arg,m,1993,37.79999923706055
arg,f,1993,15.699999809265137
arg,mf,1994,28.5
arg,m,1994,37.0
arg,f,1994,14.0
arg,mf,1995,27.0
arg,m,1995,34.5
arg,f,1995,14.800000190734863
arg,mf,1996,24.899999618530273
arg,m,1996,32.599998474121094
arg,f,1996,12.100000381469727
arg,mf,1997,25.399999618530273
arg,m,1997,34.0
arg,f,1997,11.199999809265137
arg,mf,1998,24.799999237060547
arg,m,1998,34.0
arg,f,1998,10.399999618530273
arg,mf,1999,23.600000381469727
arg,m,1999,32.20000076293945
arg,f,1999,10.600000381469727
arg,mf,2000,22.700000762939453
arg,m,2000,31.100000381469727
arg,f,2000,10.100000381469727
arg,mf,2001,21.899999618530273
arg,m,2001,30.0
arg,f,2001,10.199999809265137
arg,mf,2002,20.200000762939453
arg,m,2002,27.899999618530273
arg,f,2002,9.399999618530273
arg,mf,2003,21.700000762939453
arg,m,2003,29.200000762939453
arg,f,2003,11.399999618530273
arg,mf,2004,23.0
arg,m,2004,31.299999237060547
arg,f,2004,11.600000381469727
arg,mf,2005,23.5
arg,m,2005,32.70000076293945
arg,f,2005,11.0
arg,mf,2006,23.600000381469727
arg,m,2006,32.900001525878906
arg,f,2006,10.800000190734863
arg,mf,2007,24.200000762939453
arg,m,2007,33.900001525878906
arg,f,2007,10.600000381469727
arg,mf,2008,23.899999618530273
arg,m,2008,33.599998474121094
arg,f,2008,10.300000190734863
arg,mf,2009,23.100000381469727
arg,m,2009,33.099998474121094
arg,f,2009,9.399999618530273
arg,mf,2010,24.100000381469727
arg,m,2010,34.20000076293945
arg,f,2010,9.199999809265137
arg,mf,2011,25.299999237060547
arg,m,2011,35.099998474121094
arg,f,2011,10.699999809265137
arg,mf,2012,23.5
arg,m,2012,33.400001525878906
arg,f,2012,9.600000381469727
arg,mf,2013,23.700000762939453
arg,m,2013,34.20000076293945
arg,f,2013,9.0
arg,mf,2014,24.0
arg,m,2014,35.099998474121094
arg,f,2014,8.5
arm,mf,2002,17.0
arm,m,2002,22.100000381469727
arm,f,2002,11.300000190734863
arm,mf,2003,16.5
arm,m,2003,21.899999618530273
arm,f,2003,10.600000381469727
arm,mf,2004,16.0
arm,m,2004,20.700000762939453
arm,f,2004,10.399999618530273
arm,mf,2005,15.899999618530273
arm,m,2005,21.100000381469727
arm,f,2005,9.800000190734863
arm,mf,2006,15.600000381469727
arm,m,2006,20.799999237060547
arm,f,2006,9.5
arm,mf,2007,15.100000381469727
arm,m,2007,21.399999618530273
arm,f,2007,8.300000190734863
arm,mf,2008,19.799999237060547
arm,m,2008,30.399999618530273
arm,f,2008,7.199999809265137
arm,mf,2009,17.100000381469727
arm,m,2009,27.200000762939453
arm,f,2009,5.400000095367432
arm,mf,2010,17.399999618530273
arm,m,2010,27.0
arm,f,2010,5.800000190734863
arm,mf,2011,16.700000762939453
arm,m,2011,26.100000381469727
arm,f,2011,6.5
arm,mf,2012,17.700000762939453
arm,m,2012,27.100000381469727
arm,f,2012,7.699999809265137
arm,mf,2013,17.0
arm,m,2013,26.5
arm,f,2013,6.599999904632568
abw,mf,1994,18.600000381469727
abw,m,1994,28.399999618530273
abw,f,1994,4.800000190734863
abw,mf,1997,16.299999237060547
abw,m,1997,25.600000381469727
abw,f,1997,4.199999809265137
abw,mf,2000,16.399999618530273
abw,m,2000,26.700000762939453
abw,f,2000,4.5
abw,mf,2007,20.299999237060547
abw,m,2007,32.900001525878906
abw,f,2007,6.199999809265137
abw,mf,2010,14.5
abw,m,2010,24.399999618530273
abw,f,2010,4.5
abw,mf,2011,14.0
abw,m,2011,24.399999618530273
abw,f,2011,3.299999952316284
aus,mf,1980,31.0
aus,m,1980,39.29999923706055
aus,f,1980,16.299999237060547
aus,mf,1981,30.5
aus,m,1981,38.599998474121094
aus,f,1981,16.5
aus,mf,1982,29.700000762939453
aus,m,1982,37.900001525878906
aus,f,1982,15.699999809265137
aus,mf,1983,28.399999618530273
aus,m,1983,36.29999923706055
aus,f,1983,15.199999809265137
aus,mf,1984,28.0
aus,m,1984,36.0
aus,f,1984,14.699999809265137
aus,mf,1985,27.299999237060547
aus,m,1985,36.20000076293945
aus,f,1985,14.699999809265137
aus,mf,1986,26.600000381469727
