country,sex,year,industry_000
alb,mf,2000,71.0
alb,mf,2001,69.0
alb,mf,2002,126.0
alb,mf,2003,124.0
alb,mf,2004,127.0
alb,mf,2005,126.0
alb,mf,2006,126.0
alb,mf,2007,224.0
alb,mf,2009,231.44700622558594
alb,m,2009,180.03199768066406
alb,f,2009,51.41600036621094
dza,mf,2001,1511.0999755859375
dza,m,2001,1260.699951171875
dza,f,2001,250.5
dza,mf,2003,1604.0999755859375
dza,m,2003,1368.800048828125
dza,f,2003,235.10000610351562
dza,mf,2004,2028.5
dza,m,2004,1646.0999755859375
dza,f,2004,382.3999938964844
dza,mf,2011,2962.0
dza,m,2011,2590.0
dza,f,2011,372.0
asm,mf,1990,6.0
asm,m,1990,3.4000000953674316
asm,f,1990,2.5
asm,mf,2000,6.966000080108643
asm,mf,2010,3.8489999771118164
ago,mf,1992,102.29000091552734
aia,mf,1999,1.2649999856948853
aia,m,1999,1.0750000476837158
aia,f,1999,0.19499999284744263
aia,mf,2001,1.065000057220459
aia,m,2001,0.9679999947547913
aia,f,2001,0.09700000286102295
atg,mf,2001,5.2820000648498535
atg,m,2001,4.432000160217285
atg,f,2001,0.8500000238418579
atg,mf,2002,5.385000228881836
atg,m,2002,4.519999980926514
atg,f,2002,0.8640000224113464
atg,mf,2003,5.485000133514404
atg,m,2003,4.604000091552734
atg,f,2003,0.8820000290870667
atg,mf,2004,5.586999893188477
atg,m,2004,4.690000057220459
atg,f,2004,0.8970000147819519
atg,mf,2005,5.690999984741211
atg,m,2005,4.7779998779296875
atg,f,2005,0.9129999876022339
atg,mf,2006,5.797999858856201
atg,m,2006,4.867000102996826
atg,f,2006,0.9319999814033508
atg,mf,2007,5.90500020980835
atg,m,2007,4.956999778747559
atg,f,2007,0.9480000138282776
atg,mf,2008,6.017000198364258
atg,m,2008,5.050000190734863
atg,f,2008,0.9670000076293945
arg,mf,1982,1096.5999755859375
arg,mf,1983,1080.800048828125
arg,mf,1984,1204.9000244140625
arg,mf,1990,1339.3590087890625
arg,m,1990,1065.821044921875
arg,f,1990,273.5379943847656
arg,mf,1991,1427.9000244140625
arg,m,1991,1124.9000244140625
arg,f,1991,303.0
arg,mf,1992,1444.5999755859375
arg,m,1992,1144.300048828125
arg,f,1992,300.20001220703125
arg,mf,1993,1361.300048828125
arg,m,1993,1088.699951171875
arg,f,1993,272.6000061035156
arg,mf,1994,1248.300048828125
arg,m,1994,1021.2000122070312
arg,f,1994,227.10000610351562
arg,mf,1995,1121.800048828125
arg,m,1995,887.9000244140625
arg,f,1995,234.10000610351562
arg,mf,1996,1834.300048828125
arg,m,1996,1499.5
arg,f,1996,334.6000061035156
arg,mf,1997,1997.0999755859375
arg,m,1997,1665.0999755859375
arg,f,1997,332.0
arg,mf,1998,2053.300048828125
arg,m,1998,1718.199951171875
arg,f,1998,335.20001220703125
arg,mf,1999,1955.5999755859375
arg,m,1999,1603.199951171875
arg,f,1999,352.3999938964844
arg,mf,2000,1873.4000244140625
arg,m,2000,1536.5999755859375
arg,f,2000,336.79998779296875
arg,mf,2001,1786.9000244140625
arg,m,2001,1448.0999755859375
arg,f,2001,338.8999938964844
arg,mf,2002,1616.5
arg,m,2002,1300.0999755859375
arg,f,2002,316.20001220703125
arg,mf,2003,1939.300048828125
arg,m,2003,1506.199951171875
arg,f,2003,433.1000061035156
arg,mf,2004,2169.300048828125
arg,m,2004,1707.5999755859375
arg,f,2004,461.79998779296875
arg,mf,2005,2262.5
arg,m,2005,1815.5
arg,f,2005,447.1000061035156
arg,mf,2006,2345.31005859375
arg,m,2006,1894.9310302734375
arg,f,2006,450.3789978027344
arg,mf,2007,2463.06201171875
arg,m,2007,2017.3990478515625
arg,f,2007,445.6619873046875
arg,mf,2008,2455.26708984375
arg,m,2008,2013.29296875
arg,f,2008,441.9739990234375
arg,mf,2009,2388.158935546875
arg,m,2009,1978.9749755859375
arg,f,2009,409.1839904785156
arg,mf,2010,3649.306884765625
arg,m,2010,3080.4951171875
arg,f,2010,568.81201171875
arg,mf,2011,3874.389892578125
arg,m,2011,3221.678955078125
arg,f,2011,652.7109985351562
arg,mf,2012,2548.52294921875
arg,m,2012,2116.653076171875
arg,f,2012,431.87298583984375
arg,mf,2013,2598.7529296875
arg,m,2013,2189.4599609375
arg,f,2013,409.29400634765625
arg,mf,2014,2649.09912109375
arg,m,2014,2259.22607421875
arg,f,2014,389.875
arm,mf,2002,187.8000030517578
arm,m,2002,128.60000610351562
arm,f,2002,59.20000076293945
arm,mf,2003,183.1999969482422
arm,m,2003,127.30000305175781
arm,f,2003,55.900001525878906
arm,mf,2004,172.89999389648438
arm,m,2004,121.19999694824219
arm,f,2004,51.70000076293945
arm,mf,2005,174.8000030517578
arm,m,2005,125.80000305175781
arm,f,2005,49.0
arm,mf,2006,170.60000610351562
arm,m,2006,123.4000015258789
arm,f,2006,47.20000076293945
arm,mf,2007,166.0
arm,m,2007,122.0999984741211
arm,f,2007,44.099998474121094
arm,mf,2008,234.6999969482422
arm,m,2008,195.6999969482422
arm,f,2008,39.0
arm,mf,2009,196.89999389648438
arm,m,2009,167.8000030517578
arm,f,2009,29.0
arm,mf,2010,206.5
arm,m,2010,174.0970001220703
arm,f,2010,31.3439998626709
arm,mf,2011,196.02099609375
arm,m,2011,159.39999389648438
arm,f,2011,36.62099838256836
arm,mf,2012,207.47999572753906
arm,m,2012,163.9199981689453
arm,f,2012,43.560001373291016
arm,mf,2013,197.97799682617188
arm,m,2013,161.0970001220703
arm,f,2013,36.88100051879883
abw,mf,1994,6.670000076293945
abw,m,1994,5.960000038146973
abw,f,1994,0.7099999785423279
abw,mf,1997,6.769999980926514
abw,m,1997,6.015999794006348
abw,f,1997,0.7540000081062317
abw,mf,2000,6.869999885559082
abw,m,2000,6.000999927520752
abw,f,2000,0.8690000176429749
abw,mf,2007,10.461999893188477
abw,m,2007,8.954999923706055
abw,f,2007,1.5069999694824219
abw,mf,2010,6.73799991607666
abw,m,2010,5.695000171661377
abw,f,2010,1.0440000295639038
abw,mf,2011,6.728000164031982
abw,m,2011,5.951000213623047
abw,f,2011,0.7770000100135803
aus,mf,1980,1945.699951171875
aus,m,1980,1572.699951171875
aus,f,1980,373.3999938964844
aus,mf,1981,1958.0
aus,m,1981,1570.800048828125
aus,f,1981,387.29998779296875
aus,mf,1982,1908.0
aus,m,1982,1537.5
aus,f,1982,370.5
