country,sex,year,not_adequately_defined
alb,mf,2000,
alb,mf,2001,
alb,mf,2002,
alb,mf,2003,
alb,mf,2004,
alb,mf,2005,
alb,mf,2006,
alb,mf,2007,
alb,mf,2009,0.0
alb,m,2009,0.0
alb,f,2009,0.0
dza,mf,2001,0.0
dza,m,2001,0.0
dza,f,2001,0.0
dza,mf,2003,0.0
dza,m,2003,0.0
dza,f,2003,0.0
dza,mf,2004,0.20000000298023224
dza,m,2004,0.20000000298023224
dza,f,2004,0.20000000298023224
dza,mf,2011,
dza,m,2011,
dza,f,2011,
asm,mf,1990,12.600000381469727
asm,m,1990,1.2999999523162842
asm,f,1990,28.600000381469727
asm,mf,2000,3.4000000953674316
asm,mf,2010,
ago,mf,1992,7.699999809265137
aia,mf,1999,9.5
aia,m,1999,10.399999618530273
aia,f,1999,8.699999809265137
aia,mf,2001,1.5
aia,m,2001,1.399999976158142
aia,f,2001,1.7000000476837158
atg,mf,2001,6.800000190734863
atg,m,2001,6.800000190734863
atg,f,2001,6.900000095367432
atg,mf,2002,
atg,m,2002,
atg,f,2002,
atg,mf,2003,
atg,m,2003,
atg,f,2003,
atg,mf,2004,
atg,m,2004,
atg,f,2004,
atg,mf,2005,
atg,m,2005,
atg,f,2005,
atg,mf,2006,
atg,m,2006,
atg,f,2006,
atg,mf,2007,
atg,m,2007,
atg,f,2007,
atg,mf,2008,
atg,m,2008,
atg,f,2008,
arg,mf,1982,11.100000381469727
arg,mf,1983,12.0
arg,mf,1984,12.199999809265137
arg,mf,1990,0.4000000059604645
arg,m,1990,0.4000000059604645
arg,f,1990,0.4000000059604645
arg,mf,1991,0.800000011920929
arg,m,1991,1.0
arg,f,1991,0.4000000059604645
arg,mf,1992,0.699999988079071
arg,m,1992,0.6000000238418579
arg,f,1992,0.699999988079071
arg,mf,1993,0.6000000238418579
arg,m,1993,0.5
arg,f,1993,0.800000011920929
arg,mf,1994,0.5
arg,m,1994,0.4000000059604645
arg,f,1994,0.6000000238418579
arg,mf,1995,0.4000000059604645
arg,m,1995,0.30000001192092896
arg,f,1995,0.5
arg,mf,1996,0.4000000059604645
arg,m,1996,0.5
arg,f,1996,0.4000000059604645
arg,mf,1997,0.6000000238418579
arg,m,1997,0.6000000238418579
arg,f,1997,0.5
arg,mf,1998,0.4000000059604645
arg,m,1998,0.4000000059604645
arg,f,1998,0.30000001192092896
arg,mf,1999,0.30000001192092896
arg,m,1999,0.30000001192092896
arg,f,1999,0.30000001192092896
arg,mf,2000,0.4000000059604645
arg,m,2000,0.5
arg,f,2000,0.4000000059604645
arg,mf,2001,0.30000001192092896
arg,m,2001,0.20000000298023224
arg,f,2001,0.5
arg,mf,2002,0.30000001192092896
arg,m,2002,0.20000000298023224
arg,f,2002,0.4000000059604645
arg,mf,2003,0.6000000238418579
arg,m,2003,0.699999988079071
arg,f,2003,0.5
arg,mf,2004,0.30000001192092896
arg,m,2004,0.4000000059604645
arg,f,2004,0.30000001192092896
arg,mf,2005,0.30000001192092896
arg,m,2005,0.30000001192092896
arg,f,2005,0.30000001192092896
arg,mf,2006,0.20000000298023224
arg,m,2006,0.20000000298023224
arg,f,2006,0.20000000298023224
arg,mf,2007,0.4000000059604645
arg,m,2007,0.30000001192092896
arg,f,2007,0.4000000059604645
arg,mf,2008,0.6000000238418579
arg,m,2008,0.6000000238418579
arg,f,2008,0.5
arg,mf,2009,0.6000000238418579
arg,m,2009,0.800000011920929
arg,f,2009,0.5
arg,mf,2010,0.5
arg,m,2010,0.6000000238418579
arg,f,2010,0.30000001192092896
arg,mf,2011,0.800000011920929
arg,m,2011,0.800000011920929
arg,f,2011,0.699999988079071
arg,mf,2012,0.6000000238418579
arg,m,2012,0.699999988079071
arg,f,2012,0.5
arg,mf,2013,0.800000011920929
arg,m,2013,0.800000011920929
arg,f,2013,0.800000011920929
arg,mf,2014,0.699999988079071
arg,m,2014,0.699999988079071
arg,f,2014,0.699999988079071
arm,mf,2002,
arm,m,2002,
arm,f,2002,
arm,mf,2003,
arm,m,2003,
arm,f,2003,
arm,mf,2004,
arm,m,2004,
arm,f,2004,
arm,mf,2005,
arm,m,2005,
arm,f,2005,
arm,mf,2006,
arm,m,2006,
arm,f,2006,
arm,mf,2007,
arm,m,2007,
arm,f,2007,
arm,mf,2008,
arm,m,2008,
arm,f,2008,
arm,mf,2009,
arm,m,2009,
arm,f,2009,
arm,mf,2010,
arm,m,2010,
arm,f,2010,
arm,mf,2011,
arm,m,2011,
arm,f,2011,
arm,mf,2012,
arm,m,2012,
arm,f,2012,
arm,mf,2013,
arm,m,2013,
arm,f,2013,
abw,mf,1994,0.10000000149011612
abw,m,1994,0.20000000298023224
abw,f,1994,0.10000000149011612
abw,mf,1997,0.30000001192092896
abw,m,1997,0.20000000298023224
abw,f,1997,0.4000000059604645
abw,mf,2000,0.800000011920929
abw,m,2000,0.8999999761581421
abw,f,2000,0.6000000238418579
abw,mf,2007,0.20000000298023224
abw,m,2007,0.20000000298023224
abw,f,2007,0.10000000149011612
abw,mf,2010,0.5
abw,m,2010,0.6000000238418579
abw,f,2010,0.4000000059604645
abw,mf,2011,0.30000001192092896
abw,m,2011,0.4000000059604645
abw,f,2011,0.20000000298023224
aus,mf,1980,
aus,m,1980,
aus,f,1980,
aus,mf,1981,
aus,m,1981,
aus,f,1981,
aus,mf,1982,
aus,m,1982,
aus,f,1982,
aus,mf,1983,
aus,m,1983,
aus,f,1983,
aus,mf,1984,
aus,m,1984,
aus,f,1984,
aus,mf,1985,
aus,m,1985,
aus,f,1985,
aus,mf,1986,
aus,m,1986,
aus,f,1986,
aus,mf,1987,
aus,m,1987,
aus,f,1987,
aus,mf,1988,
aus,m,1988,
aus,f,1988,
aus,mf,1989,
aus,m,1989,
aus,f,1989,
aus,mf,1990,
aus,m,1990,
aus,f,1990,
aus,mf,1991,5.800000190734863
aus,m,1991,6.0
aus,f,1991,5.599999904632568
aus,mf,1992,6.0
aus,m,1992,6.199999809265137
aus,f,1992,5.800000190734863
aus,mf,1993,6.099999904632568
aus,m,1993,6.199999809265137
aus,f,1993,5.900000095367432
aus,mf,1994,6.099999904632568
aus,m,1994,6.199999809265137
aus,f,1994,5.900000095367432
aus,mf,1995,6.0
aus,m,1995,6.0
aus,f,1995,6.0
aus,mf,1996,6.199999809265137
aus,m,1996,6.199999809265137
aus,f,1996,6.300000190734863
aus,mf,1997,6.0
aus,m,1997,6.099999904632568
aus,f,1997,5.900000095367432
aus,mf,1998,6.0
aus,m,1998,6.099999904632568
aus,f,1998,5.900000095367432
aus,mf,1999,6.0
aus,m,1999,6.0
aus,f,1999,6.0
aus,mf,2000,6.099999904632568
aus,m,2000,6.199999809265137
aus,f,2000,6.0
aus,mf,2001,6.099999904632568
aus,m,2001,6.099999904632568
aus,f,2001,6.099999904632568
aus,mf,2002,6.0
aus,m,2002,6.0
aus,f,2002,6.099999904632568
aus,mf,2003,6.099999904632568
aus,m,2003,6.099999904632568
aus,f,2003,6.099999904632568
aus,mf,2004,6.599999904632568
aus,m,2004,6.599999904632568
aus,f,2004,6.699999809265137
aus,mf,2005,6.800000190734863
aus,m,2005,6.800000190734863
aus,f,2005,6.900000095367432
aus,mf,2006,6.699999809265137
aus,m,2006,6.599999904632568
aus,f,2006,6.900000095367432
aus,mf,2007,6.599999904632568
aus,m,2007,6.599999904632568
aus,f,2007,6.699999809265137
aus,mf,2008,6.800000190734863
aus,m,2008,6.400000095367432
aus,f,2008,7.199999809265137
