country,sex,year,not_adequately_defined_000
alb,mf,2009,0.0
alb,m,2009,0.0
alb,f,2009,0.0
dza,mf,2001,0.0
dza,m,2001,0.0
dza,f,2001,0.0
dza,mf,2003,1.399999976158142
dza,m,2003,1.2000000476837158
dza,f,2003,0.20000000298023224
dza,mf,2004,16.200000762939453
dza,m,2004,13.0
dza,f,2004,3.200000047683716
asm,mf,1990,1.7000000476837158
asm,m,1990,0.10000000149011612
asm,f,1990,1.600000023841858
asm,mf,2000,0.5619999766349792
ago,mf,1992,38.40999984741211
aia,mf,1999,0.5899999737739563
aia,m,1999,0.3400000035762787
aia,f,1999,0.25
aia,mf,2001,0.0860000029206276
aia,m,2001,0.041999999433755875
aia,f,2001,0.04399999976158142
atg,mf,2001,2.4670000076293945
atg,m,2001,1.2280000448226929
atg,f,2001,1.2389999628067017
arg,mf,1982,413.70001220703125
arg,mf,1983,446.20001220703125
arg,mf,1984,475.0
arg,mf,1990,18.507999420166016
arg,m,1990,12.133999824523926
arg,f,1990,6.374000072479248
arg,mf,1991,34.0
arg,m,1991,27.600000381469727
arg,f,1991,6.400000095367432
arg,mf,1992,30.299999237060547
arg,m,1992,18.399999618530273
arg,f,1992,11.899999618530273
arg,mf,1993,27.299999237060547
arg,m,1993,13.0
arg,f,1993,14.199999809265137
arg,mf,1994,21.299999237060547
arg,m,1994,11.0
arg,f,1994,10.300000190734863
arg,mf,1995,16.700000762939453
arg,m,1995,8.899999618530273
arg,f,1995,7.800000190734863
arg,mf,1996,33.099998474121094
arg,m,1996,21.700000762939453
arg,f,1996,11.399999618530273
arg,mf,1997,46.20000076293945
arg,m,1997,30.799999237060547
arg,f,1997,15.399999618530273
arg,mf,1998,30.299999237060547
arg,m,1998,19.799999237060547
arg,f,1998,10.5
arg,mf,1999,27.399999618530273
arg,m,1999,17.299999237060547
arg,f,1999,10.100000381469727
arg,mf,2000,36.599998474121094
arg,m,2000,23.299999237060547
arg,f,2000,13.300000190734863
arg,mf,2001,28.100000381469727
arg,m,2001,10.699999809265137
arg,f,2001,17.399999618530273
arg,mf,2002,23.799999237060547
arg,m,2002,11.100000381469727
arg,f,2002,12.699999809265137
arg,mf,2003,57.599998474121094
arg,m,2003,38.29999923706055
arg,f,2003,19.299999237060547
arg,mf,2004,31.799999237060547
arg,m,2004,19.5
arg,f,2004,12.399999618530273
arg,mf,2005,28.399999618530273
arg,m,2005,14.300000190734863
arg,f,2005,14.199999809265137
arg,mf,2006,18.81800079345703
arg,m,2006,12.151000022888184
arg,f,2006,6.666999816894531
arg,mf,2007,36.178001403808594
arg,m,2007,19.18199920654297
arg,f,2007,16.996000289916992
arg,mf,2008,58.0099983215332
arg,m,2008,36.28200149536133
arg,f,2008,21.72800064086914
arg,mf,2009,67.12300109863281
arg,m,2009,44.93899917602539
arg,f,2009,22.18400001525879
arg,mf,2010,69.15299987792969
arg,m,2010,50.099998474121094
arg,f,2010,19.05299949645996
arg,mf,2011,116.21600341796875
arg,m,2011,74.2750015258789
arg,f,2011,41.941001892089844
