country,sex,year,services_000
alb,mf,2000,230.0
alb,mf,2001,227.0
alb,mf,2002,261.0
alb,mf,2003,264.0
alb,mf,2004,257.0
alb,mf,2005,259.0
alb,mf,2006,266.0
alb,mf,2007,400.0
alb,mf,2009,417.87200927734375
alb,m,2009,254.80499267578125
alb,f,2009,163.0679931640625
dza,mf,2001,3405.60009765625
dza,m,2001,2882.699951171875
dza,f,2001,522.9000244140625
dza,mf,2003,3666.800048828125
dza,m,2003,3072.0
dza,f,2003,595.0
dza,mf,2004,4137.60009765625
dza,m,2004,3467.0
dza,f,2004,671.0
dza,mf,2011,5603.0
dza,m,2011,4461.0
dza,f,2011,1142.0
asm,mf,1990,5.5
asm,m,1990,4.099999904632568
asm,f,1990,1.399999976158142
asm,mf,2000,8.67300033569336
asm,mf,2010,12.265999794006348
ago,mf,1992,331.3299865722656
aia,mf,1999,4.170000076293945
aia,m,1999,1.7599999904632568
aia,f,1999,2.4200000762939453
aia,mf,2001,4.330999851226807
aia,m,2001,1.8609999418258667
aia,f,2001,2.4690001010894775
atg,mf,2001,27.540000915527344
atg,m,2001,11.782999992370605
atg,f,2001,15.755000114440918
atg,mf,2002,28.079999923706055
atg,m,2002,12.010000228881836
atg,f,2002,16.06999969482422
atg,mf,2003,28.606000900268555
atg,m,2003,12.234999656677246
atg,f,2003,16.3700008392334
atg,mf,2004,29.13800048828125
atg,m,2004,12.46500015258789
atg,f,2004,16.676000595092773
atg,mf,2005,29.683000564575195
atg,m,2005,12.694999694824219
atg,f,2005,16.988000869750977
atg,mf,2006,30.235000610351562
atg,m,2006,12.932999610900879
atg,f,2006,17.302000045776367
atg,mf,2007,30.799999237060547
atg,m,2007,13.17300033569336
atg,f,2007,17.625999450683594
atg,mf,2008,31.37299919128418
atg,m,2008,13.418999671936035
atg,f,2008,17.954999923706055
arg,mf,1982,2226.0
arg,mf,1983,2167.199951171875
arg,mf,1984,2207.10009765625
arg,mf,1990,2862.864013671875
arg,m,1990,1613.634033203125
arg,f,1990,1249.22998046875
arg,mf,1991,2896.39990234375
arg,m,1991,1633.199951171875
arg,f,1991,1263.300048828125
arg,mf,1992,3002.89990234375
arg,m,1992,1672.4000244140625
arg,f,1992,1330.300048828125
arg,mf,1993,3199.5
arg,m,1993,1760.0999755859375
arg,f,1993,1439.300048828125
arg,mf,1994,3096.800048828125
arg,m,1994,1710.9000244140625
arg,f,1994,1385.9000244140625
arg,mf,1995,2992.60009765625
arg,m,1995,1657.5
arg,f,1995,1335.300048828125
arg,mf,1996,5446.39892578125
arg,m,1996,3033.0
arg,f,1996,2413.5
arg,mf,1997,5753.2998046875
arg,m,1997,3146.5
arg,f,1997,2606.89990234375
arg,mf,1998,6131.90087890625
arg,m,1998,3262.89990234375
arg,f,1998,2868.89990234375
arg,mf,1999,6240.7001953125
arg,m,1999,3296.800048828125
arg,f,1999,2943.800048828125
arg,mf,2000,6296.2998046875
arg,m,2000,3334.60009765625
arg,f,2000,2961.89990234375
arg,mf,2001,6260.7001953125
arg,m,2001,3315.699951171875
arg,f,2001,2945.10009765625
arg,mf,2002,6297.60009765625
arg,m,2002,3279.89990234375
arg,f,2002,3017.699951171875
arg,mf,2003,6835.10009765625
arg,m,2003,3519.89990234375
arg,f,2003,3315.199951171875
arg,mf,2004,7104.89892578125
arg,m,2004,3645.699951171875
arg,f,2004,3459.199951171875
arg,mf,2005,7240.60009765625
arg,m,2005,3646.699951171875
arg,f,2005,3593.800048828125
arg,mf,2006,7458.23486328125
arg,m,2006,3764.367919921875
arg,f,2006,3693.87109375
arg,mf,2007,7582.98583984375
arg,m,2007,3838.968017578125
arg,f,2007,3744.02001953125
arg,mf,2008,7644.10302734375
arg,m,2008,3840.4580078125
arg,f,2008,3803.64501953125
arg,mf,2009,7811.046875
arg,m,2009,3892.134033203125
arg,f,2009,3918.9140625
arg,mf,2010,10995.7197265625
arg,m,2010,5449.59716796875
arg,f,2010,5546.1240234375
arg,mf,2011,10838.2001953125
arg,m,2011,5446.2421875
arg,f,2011,5391.9599609375
arg,mf,2012,8157.22900390625
arg,m,2012,4117.2470703125
arg,f,2012,4039.985107421875
arg,mf,2013,8186.14404296875
arg,m,2013,4097.6220703125
arg,f,2013,4088.52392578125
arg,mf,2014,8257.2880859375
arg,m,2014,4078.89599609375
arg,f,2014,4178.39599609375
arm,mf,2002,417.79998779296875
arm,m,2002,176.1999969482422
arm,f,2002,241.60000610351562
arm,mf,2003,415.3999938964844
arm,m,2003,170.5
arm,f,2003,244.89999389648438
arm,mf,2004,401.70001220703125
arm,m,2004,178.0
arm,f,2004,223.6999969482422
arm,mf,2005,415.3999938964844
arm,m,2005,196.10000610351562
arm,f,2005,219.3000030517578
arm,mf,2006,417.3999938964844
arm,m,2006,195.1999969482422
arm,f,2006,222.1999969482422
arm,mf,2007,428.70001220703125
arm,m,2007,200.60000610351562
arm,f,2007,228.0
arm,mf,2008,503.1000061035156
arm,m,2008,251.3000030517578
arm,f,2008,251.89999389648438
arm,mf,2009,501.29998779296875
arm,m,2009,235.8000030517578
arm,f,2009,261.6000061035156
arm,mf,2010,521.2000122070312
arm,m,2010,268.8810119628906
arm,f,2010,253.98800659179688
arm,mf,2011,521.719970703125
arm,m,2011,251.08099365234375
arm,f,2011,270.6390075683594
arm,mf,2012,528.114990234375
arm,m,2012,253.50900268554688
arm,f,2012,274.6059875488281
arm,mf,2013,543.656005859375
arm,m,2013,272.07598876953125
arm,f,2013,271.5799865722656
abw,mf,1994,29.200000762939453
abw,m,1994,14.979999542236328
abw,f,1994,14.210000038146973
abw,mf,1997,34.402000427246094
abw,m,1997,17.26799964904785
abw,f,1997,17.134000778198242
abw,mf,2000,34.51100158691406
abw,m,2000,16.11400032043457
abw,f,2000,18.398000717163086
abw,mf,2007,40.70600128173828
abw,m,2007,17.934999465942383
abw,f,2007,22.770999908447266
abw,mf,2010,39.26300048828125
abw,m,2010,17.305999755859375
abw,f,2010,21.957000732421875
abw,mf,2011,40.76300048828125
abw,m,2011,18.16200065612793
abw,f,2011,22.60099983215332
aus,mf,1980,3922.89990234375
aus,m,1980,2106.60009765625
aus,f,1980,1816.300048828125
aus,mf,1981,4025.0
aus,m,1981,2181.300048828125
aus,f,1981,1842.4000244140625
aus,mf,1982,4085.0
aus,m,1982,2201.0
aus,f,1982,1884.5
aus,mf,1983,4083.300048828125
aus,m,1983,2190.300048828125
aus,f,1983,1893.0
aus,mf,1984,4255.2001953125
aus,m,1984,2272.10009765625
aus,f,1984,1983.0999755859375
aus,mf,1985,4460.68798828125
aus,m,1985,2373.741943359375
aus,f,1985,2086.945068359375
aus,mf,1986,4675.26220703125
aus,m,1986,2449.510009765625
aus,f,1986,2225.75390625
aus,mf,1987,4828.19384765625
aus,m,1987,2505.283935546875
aus,f,1987,2322.909912109375
aus,mf,1988,4874.2998046875
aus,m,1988,2512.800048828125
aus,f,1988,2361.5
aus,mf,1989,5264.60009765625
aus,m,1989,2656.10009765625
aus,f,1989,2608.300048828125
aus,mf,1990,5432.2998046875
aus,m,1990,2722.199951171875
aus,f,1990,2710.199951171875
aus,mf,1991,4977.09912109375
aus,m,1991,2462.0
aus,f,1991,2515.300048828125
aus,mf,1992,4966.39990234375
aus,m,1992,2437.0
aus,f,1992,2529.5
aus,mf,1993,4961.0
aus,m,1993,2427.0
aus,f,1993,2534.10009765625
aus,mf,1994,5142.798828125
aus,m,1994,2506.60009765625
aus,f,1994,2636.0
aus,mf,1995,5396.7001953125
aus,m,1995,2620.89990234375
aus,f,1995,2775.89990234375
aus,mf,1996,5482.7001953125
aus,m,1996,2655.60009765625
aus,f,1996,2827.199951171875
aus,mf,1997,5550.39892578125
aus,m,1997,2677.699951171875
aus,f,1997,2872.60009765625
aus,mf,1998,5683.2001953125
aus,m,1998,2729.10009765625
aus,f,1998,2954.0
