country,sex,year,services_percentage
alb,mf,2000,21.5
alb,mf,2001,21.399999618530273
alb,mf,2002,28.399999618530273
alb,mf,2003,28.5
alb,mf,2004,27.600000381469727
alb,mf,2005,27.799999237060547
alb,mf,2006,28.399999618530273
alb,mf,2007,33.400001525878906
alb,mf,2009,36.0
alb,m,2009,38.400001525878906
alb,f,2009,32.79999923706055
dza,mf,2001,54.70000076293945
dza,m,2001,53.900001525878906
dza,f,2001,59.20000076293945
dza,mf,2003,54.900001525878906
dza,m,2003,53.400001525878906
dza,f,2003,63.79999923706055
dza,mf,2004,53.099998474121094
dza,m,2004,53.79999923706055
dza,f,2004,49.5
dza,mf,2011,58.400001525878906
dza,m,2011,55.5
dza,f,2011,73.19999694824219
asm,mf,1990,40.70000076293945
asm,m,1990,51.900001525878906
asm,f,1990,25.0
asm,mf,2000,51.900001525878906
asm,mf,2010,73.80000305175781
ago,mf,1992,66.5999984741211
aia,mf,1999,67.5
aia,m,1999,53.599998474121094
aia,f,1999,83.69999694824219
aia,mf,2001,76.69999694824219
aia,m,2001,61.70000076293945
aia,f,2001,93.9000015258789
atg,mf,2001,76.0
atg,m,2001,64.80000305175781
atg,f,2001,87.30000305175781
atg,mf,2002,81.5999984741211
atg,m,2002,69.5
atg,f,2002,93.80000305175781
atg,mf,2003,81.5999984741211
atg,m,2003,69.5
atg,f,2003,93.80000305175781
atg,mf,2004,81.5999984741211
atg,m,2004,69.5
atg,f,2004,93.80000305175781
atg,mf,2005,81.5999984741211
atg,m,2005,69.5
atg,f,2005,93.80000305175781
atg,mf,2006,81.5999984741211
atg,m,2006,69.5
atg,f,2006,93.80000305175781
atg,mf,2007,81.5999984741211
atg,m,2007,69.5
atg,f,2007,93.80000305175781
atg,mf,2008,81.5999984741211
atg,m,2008,69.5
atg,f,2008,93.80000305175781
arg,mf,1982,59.5
arg,mf,1983,58.5
arg,mf,1984,56.599998474121094
arg,mf,1990,67.5999984741211
arg,m,1990,59.70000076293945
arg,f,1990,81.5999984741211
arg,mf,1991,66.19999694824219
arg,m,1991,58.400001525878906
arg,f,1991,80.19999694824219
arg,mf,1992,66.80000305175781
arg,m,1992,58.70000076293945
arg,f,1992,80.69999694824219
arg,mf,1993,69.4000015258789
arg,m,1993,61.20000076293945
arg,f,1993,83.0999984741211
arg,mf,1994,70.5999984741211
arg,m,1994,62.0
arg,f,1994,85.19999694824219
arg,mf,1995,72.0
arg,m,1995,64.4000015258789
arg,f,1995,84.4000015258789
arg,mf,1996,73.9000015258789
arg,m,1996,65.9000015258789
arg,f,1996,87.30000305175781
arg,mf,1997,73.19999694824219
arg,m,1997,64.30000305175781
arg,f,1997,88.0
arg,mf,1998,74.0999984741211
arg,m,1998,64.5
arg,f,1998,89.0999984741211
arg,mf,1999,75.30000305175781
arg,m,1999,66.30000305175781
arg,f,1999,88.80000305175781
arg,mf,2000,76.19999694824219
arg,m,2000,67.5
arg,f,2000,89.19999694824219
arg,mf,2001,76.9000015258789
arg,m,2001,68.5999984741211
arg,f,2001,89.0
arg,mf,2002,78.5999984741211
arg,m,2002,70.5
arg,f,2002,89.69999694824219
arg,mf,2003,76.30000305175781
arg,m,2003,68.30000305175781
arg,f,2003,87.0999984741211
arg,mf,2004,75.5
arg,m,2004,66.9000015258789
arg,f,2004,87.19999694824219
arg,mf,2005,75.0999984741211
arg,m,2005,65.5999984741211
arg,f,2005,88.0999984741211
arg,mf,2006,75.0999984741211
arg,m,2006,65.4000015258789
arg,f,2006,88.5
arg,mf,2007,74.5
arg,m,2007,64.5
arg,f,2007,88.69999694824219
arg,mf,2008,74.4000015258789
arg,m,2008,64.0
arg,f,2008,88.80000305175781
arg,mf,2009,75.5999984741211
arg,m,2009,65.19999694824219
arg,f,2009,89.69999694824219
arg,mf,2010,72.5
arg,m,2010,60.599998474121094
arg,f,2010,90.0
arg,mf,2011,70.80000305175781
arg,m,2011,59.29999923706055
arg,f,2011,88.0
arg,mf,2012,75.19999694824219
arg,m,2012,65.0
arg,f,2012,89.5999984741211
arg,mf,2013,74.80000305175781
arg,m,2013,64.0999984741211
arg,f,2013,89.9000015258789
arg,mf,2014,74.69999694824219
arg,m,2014,63.29999923706055
arg,f,2014,90.69999694824219
arm,mf,2002,37.79999923706055
arm,m,2002,30.299999237060547
arm,f,2002,46.099998474121094
arm,mf,2003,37.5
arm,m,2003,29.299999237060547
arm,f,2003,46.599998474121094
arm,mf,2004,37.099998474121094
arm,m,2004,30.5
arm,f,2004,45.0
arm,mf,2005,37.79999923706055
arm,m,2005,32.79999923706055
arm,f,2005,43.79999923706055
arm,mf,2006,38.20000076293945
arm,m,2006,32.900001525878906
arm,f,2006,44.5
arm,mf,2007,38.900001525878906
arm,m,2007,35.099998474121094
arm,f,2007,43.0
arm,mf,2008,42.5
arm,m,2008,39.0
arm,f,2008,46.79999923706055
arm,mf,2009,43.5
arm,m,2009,38.20000076293945
arm,f,2009,48.900001525878906
arm,mf,2010,44.0
arm,m,2010,41.70000076293945
arm,f,2010,47.0
arm,mf,2011,44.400001525878906
arm,m,2011,41.099998474121094
arm,f,2011,48.0
arm,mf,2012,45.0
arm,m,2012,41.900001525878906
arm,f,2012,48.400001525878906
arm,mf,2013,46.70000076293945
arm,m,2013,44.79999923706055
arm,f,2013,48.79999923706055
abw,mf,1994,81.19999694824219
abw,m,1994,71.30000305175781
abw,f,1994,95.0999984741211
abw,mf,1997,82.9000015258789
abw,m,1997,73.5
abw,f,1997,95.0999984741211
abw,mf,2000,82.30000305175781
abw,m,2000,71.5999984741211
abw,f,2000,94.69999694824219
abw,mf,2007,78.9000015258789
abw,m,2007,65.9000015258789
abw,f,2007,93.30000305175781
abw,mf,2010,84.4000015258789
abw,m,2010,74.0999984741211
abw,f,2010,94.80000305175781
abw,mf,2011,85.0999984741211
abw,m,2011,74.4000015258789
abw,f,2011,96.0999984741211
aus,mf,1980,62.400001525878906
aus,m,1980,52.70000076293945
aus,f,1980,79.4000015258789
aus,mf,1981,62.70000076293945
aus,m,1981,53.599998474121094
aus,f,1981,78.5999984741211
aus,mf,1982,63.70000076293945
aus,m,1982,54.20000076293945
aus,f,1982,79.9000015258789
aus,mf,1983,64.80000305175781
aus,m,1983,55.5
aus,f,1983,80.4000015258789
aus,mf,1984,65.5
aus,m,1984,56.20000076293945
aus,f,1984,80.9000015258789
aus,mf,1985,66.5
aus,m,1985,57.5
aus,f,1985,81.0
aus,mf,1986,67.30000305175781
aus,m,1986,58.099998474121094
aus,f,1986,81.5
aus,mf,1987,68.0
aus,m,1987,58.599998474121094
aus,f,1987,82.0999984741211
aus,mf,1988,67.9000015258789
aus,m,1988,58.20000076293945
aus,f,1988,82.4000015258789
aus,mf,1989,68.19999694824219
aus,m,1989,58.20000076293945
aus,f,1989,82.69999694824219
aus,mf,1990,69.30000305175781
aus,m,1990,59.400001525878906
aus,f,1990,83.30000305175781
aus,mf,1991,65.0
aus,m,1991,55.400001525878906
aus,f,1991,78.0999984741211
aus,mf,1992,65.30000305175781
aus,m,1992,55.599998474121094
aus,f,1992,78.4000015258789
aus,mf,1993,65.0999984741211
aus,m,1993,55.400001525878906
aus,f,1993,78.19999694824219
aus,mf,1994,65.4000015258789
aus,m,1994,55.599998474121094
aus,f,1994,78.5999984741211
aus,mf,1995,66.0999984741211
aus,m,1995,56.29999923706055
aus,f,1995,79.0
aus,mf,1996,66.19999694824219
aus,m,1996,56.400001525878906
aus,f,1996,79.0999984741211
aus,mf,1997,66.5999984741211
aus,m,1997,56.70000076293945
aus,f,1997,79.5
aus,mf,1998,67.0
aus,m,1998,57.0
aus,f,1998,80.0999984741211
aus,mf,1999,67.19999694824219
aus,m,1999,57.20000076293945
aus,f,1999,80.19999694824219
aus,mf,2000,66.9000015258789
aus,m,2000,56.599998474121094
aus,f,2000,79.9000015258789
aus,mf,2001,67.9000015258789
aus,m,2001,57.599998474121094
aus,f,2001,80.69999694824219
aus,mf,2002,68.0999984741211
aus,m,2002,57.79999923706055
aus,f,2002,81.0
aus,mf,2003,68.5999984741211
aus,m,2003,58.099998474121094
aus,f,2003,81.4000015258789
aus,mf,2004,68.0
aus,m,2004,57.400001525878906
aus,f,2004,81.0
aus,mf,2005,68.0999984741211
aus,m,2005,57.5
aus,f,2005,81.0999984741211
aus,mf,2006,68.19999694824219
aus,m,2006,57.29999923706055
aus,f,2006,81.5
aus,mf,2007,68.5
aus,m,2007,57.29999923706055
aus,f,2007,82.0999984741211
aus,mf,2008,68.0
aus,m,2008,56.70000076293945
aus,f,2008,81.5999984741211
aus,mf,2009,68.19999694824219
aus,m,2009,57.099998474121094
aus,f,2009,81.5
aus,mf,2010,68.4000015258789
aus,m,2010,57.29999923706055
aus,f,2010,81.69999694824219
aus,mf,2011,75.4000015258789
aus,m,2011,64.4000015258789
aus,f,2011,88.5999984741211
aus,mf,2012,75.4000015258789
aus,m,2012,64.30000305175781
aus,f,2012,88.5999984741211
aus,mf,2013,69.5
aus,m,2013,58.20000076293945
aus,f,2013,82.80000305175781
aut,mf,1983,51.20000076293945
aut,m,1983,42.29999923706055
aut,f,1983,65.5999984741211
aut,mf,1984,52.20000076293945
aut,m,1984,42.599998474121094
aut,f,1984,66.80000305175781
aut,mf,1985,52.599998474121094
aut,m,1985,42.900001525878906
aut,f,1985,67.5
aut,mf,1986,53.20000076293945
aut,m,1986,43.5
aut,f,1986,68.19999694824219
aut,mf,1987,53.400001525878906
aut,m,1987,43.29999923706055
aut,f,1987,68.4000015258789
aut,mf,1988,54.0
aut,m,1988,43.70000076293945
aut,f,1988,69.30000305175781
aut,mf,1989,54.70000076293945
aut,m,1989,44.099998474121094
aut,f,1989,70.0999984741211
aut,mf,1990,54.900001525878906
aut,m,1990,44.29999923706055
aut,f,1990,70.19999694824219
aut,mf,1991,55.20000076293945
aut,m,1991,44.70000076293945
aut,f,1991,70.4000015258789
aut,mf,1992,56.79999923706055
aut,m,1992,46.29999923706055
aut,f,1992,71.5999984741211
aut,mf,1993,57.5
aut,m,1993,46.20000076293945
aut,f,1993,73.0
aut,mf,1994,60.29999923706055
aut,m,1994,49.599998474121094
aut,f,1994,74.80000305175781
aut,mf,1995,60.599998474121094
aut,m,1995,50.099998474121094
aut,f,1995,74.30000305175781
aut,mf,1996,62.29999923706055
aut,m,1996,51.900001525878906
aut,f,1996,75.80000305175781
aut,mf,1997,63.5
aut,m,1997,52.5
aut,f,1997,77.5999984741211
aut,mf,1998,64.0
aut,m,1998,52.599998474121094
aut,f,1998,78.5
aut,mf,1999,64.19999694824219
aut,m,1999,52.5
aut,f,1999,79.19999694824219
aut,mf,2000,64.19999694824219
aut,m,2000,52.0
