country,sex,year,total_employment_000
alb,mf,2000,1068.0
alb,mf,2001,1063.0
alb,mf,2002,920.0
alb,mf,2003,926.0
alb,mf,2004,931.0
alb,mf,2005,932.0
alb,mf,2006,935.0
alb,mf,2007,1198.0
alb,mf,2009,1160.54296875
alb,m,2009,663.2990112304688
alb,f,2009,497.2439880371094
dza,mf,2001,6228.7998046875
dza,m,2001,5345.2001953125
dza,f,2001,883.5999755859375
dza,mf,2003,6684.10009765625
dza,m,2003,5751.0
dza,f,2003,933.0
dza,mf,2004,7798.39990234375
dza,m,2004,6439.2001953125
dza,f,2004,1356.0999755859375
dza,mf,2011,9599.0
dza,m,2011,8038.0
dza,f,2011,1561.0
asm,mf,1990,13.5
asm,m,1990,7.900000095367432
asm,f,1990,5.599999904632568
asm,mf,2000,16.718000411987305
asm,mf,2010,16.615999221801758
ago,mf,1992,497.2099914550781
aia,mf,1999,6.179999828338623
aia,m,1999,3.2850000858306885
aia,f,1999,2.890000104904175
aia,mf,2001,5.644000053405762
aia,m,2001,3.015000104904175
aia,f,2001,2.628999948501587
atg,mf,2001,36.233001708984375
atg,m,2001,18.187999725341797
atg,f,2001,18.04599952697754
atg,mf,2002,34.430999755859375
atg,m,2002,17.292999267578125
atg,f,2002,17.138999938964844
atg,mf,2003,35.07400131225586
atg,m,2003,17.614999771118164
atg,f,2003,17.458999633789062
atg,mf,2004,35.72800064086914
atg,m,2004,17.944000244140625
atg,f,2004,17.784000396728516
atg,mf,2005,36.39500045776367
atg,m,2005,18.27899932861328
atg,f,2005,18.115999221801758
atg,mf,2006,37.07400131225586
atg,m,2006,18.6200008392334
atg,f,2006,18.45400047302246
atg,mf,2007,37.76499938964844
atg,m,2007,18.966999053955078
atg,f,2007,18.79800033569336
atg,mf,2008,38.470001220703125
atg,m,2008,19.320999145507812
atg,f,2008,19.14900016784668
arg,mf,1982,3740.60009765625
arg,mf,1983,3704.10009765625
arg,mf,1984,3897.0
arg,mf,1990,4235.66015625
arg,m,1990,2704.02197265625
arg,f,1990,1531.637939453125
arg,mf,1991,4373.2001953125
arg,m,1991,2798.39990234375
arg,f,1991,1574.800048828125
arg,mf,1992,4495.60009765625
arg,m,1992,2847.800048828125
arg,f,1992,1647.699951171875
arg,mf,1993,4609.10009765625
arg,m,1993,2877.89990234375
arg,f,1993,1731.199951171875
arg,mf,1994,4386.2998046875
arg,m,1994,2759.10009765625
arg,f,1994,1627.199951171875
arg,mf,1995,4157.2001953125
arg,m,1995,2574.39990234375
arg,f,1995,1582.800048828125
arg,mf,1996,7369.7998046875
arg,m,1996,4604.39990234375
arg,f,1996,2765.5
arg,mf,1997,7858.39990234375
arg,m,1997,4897.0
arg,f,1997,2961.5
arg,mf,1998,8278.599609375
arg,m,1998,5057.0
arg,f,1998,3221.60009765625
arg,mf,1999,8285.2001953125
arg,m,1999,4971.39990234375
arg,f,1999,3313.800048828125
arg,mf,2000,8261.7001953125
arg,m,2000,4942.0
arg,f,2000,3319.800048828125
arg,mf,2001,8143.39990234375
arg,m,2001,4832.39990234375
arg,f,2001,3310.89990234375
arg,mf,2002,8016.10009765625
arg,m,2002,4653.60009765625
arg,f,2002,3362.5
arg,mf,2003,8956.2001953125
arg,m,2003,5150.89990234375
arg,f,2003,3805.300048828125
arg,mf,2004,9415.0
arg,m,2004,5446.89990234375
arg,f,2004,3968.0
arg,mf,2005,9638.7001953125
arg,m,2005,5557.2998046875
arg,f,2005,4081.39990234375
arg,mf,2006,9926.044921875
arg,m,2006,5754.34423828125
arg,f,2006,4171.701171875
arg,mf,2007,10176.330078125
arg,m,2007,5953.02099609375
arg,f,2007,4223.30615234375
arg,mf,2008,10279.8095703125
arg,m,2008,5997.0361328125
arg,f,2008,4282.76904296875
arg,mf,2009,10337.8798828125
arg,m,2009,5970.94287109375
arg,f,2009,4366.93701171875
arg,mf,2010,15161.830078125
arg,m,2010,8998.3876953125
arg,f,2010,6163.44091796875
arg,mf,2011,15306.599609375
arg,m,2011,9177.88671875
arg,f,2011,6128.708984375
arg,mf,2012,10843.5703125
arg,m,2012,6333.369140625
arg,f,2012,4510.19677734375
arg,mf,2013,10942.849609375
arg,m,2013,6396.93798828125
arg,f,2013,4545.91015625
arg,mf,2014,11047.2197265625
arg,m,2014,6439.56982421875
arg,f,2014,4607.65283203125
arm,mf,2002,1106.4000244140625
arm,m,2002,582.0999755859375
arm,f,2002,524.2999877929688
arm,mf,2003,1107.5999755859375
arm,m,2003,581.7999877929688
arm,f,2003,525.7999877929688
arm,mf,2004,1081.699951171875
arm,m,2004,584.2000122070312
arm,f,2004,497.5
arm,mf,2005,1097.800048828125
arm,m,2005,597.0999755859375
arm,f,2005,500.70001220703125
arm,mf,2006,1092.4000244140625
arm,m,2006,593.0
arm,f,2006,499.3999938964844
arm,mf,2007,1101.5
arm,m,2007,571.4000244140625
arm,f,2007,530.0999755859375
arm,mf,2008,1183.0999755859375
arm,m,2008,644.7999877929688
arm,f,2008,538.2999877929688
arm,mf,2009,1152.800048828125
arm,m,2009,617.2999877929688
arm,f,2009,535.5
arm,mf,2010,1185.199951171875
arm,m,2010,644.7999877929688
arm,f,2010,540.4000244140625
arm,mf,2011,1175.1290283203125
arm,m,2011,610.9429931640625
arm,f,2011,564.1859741210938
arm,mf,2012,1172.7530517578125
arm,m,2012,604.9979858398438
arm,f,2012,567.7550048828125
arm,mf,2013,1163.7559814453125
arm,m,2013,607.4869995117188
arm,f,2013,556.2689819335938
abw,mf,1994,35.939998626708984
abw,m,1994,21.0
abw,f,1994,14.9399995803833
abw,mf,1997,41.500999450683594
abw,m,1997,23.486000061035156
abw,f,1997,18.014999389648438
abw,mf,2000,41.917999267578125
abw,m,2000,22.49799919128418
abw,f,2000,19.420000076293945
abw,mf,2007,51.606998443603516
abw,m,2007,27.208999633789062
abw,f,2007,24.398000717163086
abw,mf,2010,46.5260009765625
abw,m,2010,23.363000869750977
abw,f,2010,23.163000106811523
abw,mf,2011,47.915000915527344
abw,m,2011,24.400999069213867
abw,f,2011,23.513999938964844
aus,mf,1980,6284.2998046875
aus,m,1980,3997.800048828125
aus,f,1980,2286.5
aus,mf,1981,6416.5
aus,m,1981,4073.10009765625
aus,f,1981,2343.39990234375
aus,mf,1982,6414.89990234375
aus,m,1982,4057.60009765625
aus,f,1982,2357.300048828125
aus,mf,1983,6300.39990234375
aus,m,1983,3946.89990234375
aus,f,1983,2353.5
aus,mf,1984,6493.89990234375
aus,m,1984,4042.39990234375
aus,f,1984,2451.5
aus,mf,1985,6702.77001953125
aus,m,1985,4127.6650390625
aus,f,1985,2575.10498046875
aus,mf,1986,6948.3779296875
aus,m,1986,4216.09814453125
aus,f,1986,2732.280029296875
aus,mf,1987,7100.0478515625
aus,m,1987,4272.26513671875
aus,f,1987,2827.784912109375
aus,mf,1988,7181.7001953125
aus,m,1988,4316.10009765625
aus,f,1988,2865.5
aus,mf,1989,7716.2998046875
aus,m,1989,4561.2001953125
aus,f,1989,3155.10009765625
aus,mf,1990,7836.60009765625
aus,m,1990,4583.2001953125
aus,f,1990,3253.39990234375
aus,mf,1991,7662.0
aus,m,1991,4442.2998046875
aus,f,1991,3219.800048828125
aus,mf,1992,7607.39990234375
aus,m,1992,4382.60009765625
aus,f,1992,3224.800048828125
aus,mf,1993,7621.39990234375
aus,m,1993,4380.39990234375
aus,f,1993,3241.10009765625
aus,mf,1994,7865.39990234375
aus,m,1994,4511.0
aus,f,1994,3354.39990234375
aus,mf,1995,8170.2998046875
aus,m,1995,4655.5
aus,f,1995,3514.800048828125
aus,mf,1996,8281.0
aus,m,1996,4707.0
aus,f,1996,3574.0
aus,mf,1997,8333.5
aus,m,1997,4721.89990234375
aus,f,1997,3611.60009765625
